"","Geo Level","State","State ANSI","Measure","Bearing Type","Domain","size_bracket","Value","CV (%)"
"1","NATIONAL","US TOTAL",NA,"ACRES","BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)",963,"5.6"
"2","NATIONAL","US TOTAL",NA,"ACRES","BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",3195,"5.9"
"3","NATIONAL","US TOTAL",NA,"ACRES","BEARING","AREA GROWN","(100 OR MORE ACRES)",46265,"25.3"
"4","NATIONAL","US TOTAL",NA,"ACRES","BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",2514,"20.0"
"5","NATIONAL","US TOTAL",NA,"ACRES","BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)",4231,"13.0"
"6","NATIONAL","US TOTAL",NA,"ACRES","BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)",3396,"8.6"
"7","NATIONAL","US TOTAL",NA,"ACRES","BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)",10146,"50.5"
"8","NATIONAL","US TOTAL",NA,"ACRES","BEARING","TOTAL","TOTAL",70709,"15.4"
"9","NATIONAL","US TOTAL",NA,"ACRES","GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)",1199,"6.2"
"10","NATIONAL","US TOTAL",NA,"ACRES","GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",3729,"5.3"
"11","NATIONAL","US TOTAL",NA,"ACRES","GROWN","AREA GROWN","(100 OR MORE ACRES)",46931,"25.0"
"12","NATIONAL","US TOTAL",NA,"ACRES","GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",2758,"19.1"
"13","NATIONAL","US TOTAL",NA,"ACRES","GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",4441,"12.7"
"14","NATIONAL","US TOTAL",NA,"ACRES","GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",3942,"7.9"
"15","NATIONAL","US TOTAL",NA,"ACRES","GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)",10461,"47.6"
"16","NATIONAL","US TOTAL",NA,"ACRES","GROWN","TOTAL","TOTAL",73462,"15.3"
"17","NATIONAL","US TOTAL",NA,"ACRES","NON-BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)",236,"13.2"
"18","NATIONAL","US TOTAL",NA,"ACRES","NON-BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",535,"5.1"
"19","NATIONAL","US TOTAL",NA,"ACRES","NON-BEARING","AREA GROWN","(100 OR MORE ACRES)",666,"4.2"
"20","NATIONAL","US TOTAL",NA,"ACRES","NON-BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",244,"34.1"
"21","NATIONAL","US TOTAL",NA,"ACRES","NON-BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)",210,"37.3"
"22","NATIONAL","US TOTAL",NA,"ACRES","NON-BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)",547,"9.9"
"23","NATIONAL","US TOTAL",NA,"ACRES","NON-BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)",315,"(H)"
"24","NATIONAL","US TOTAL",NA,"ACRES","NON-BEARING","TOTAL","TOTAL",2753,"15.5"
"25","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)",4690,"6.4"
"26","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",1812,"6.1"
"27","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA BEARING","AREA GROWN","(100 OR MORE ACRES)",161,"25.4"
"28","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",146,"17.2"
"29","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)",131,"11.9"
"30","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)",510,"7.3"
"31","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)",146,"44.0"
"32","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA BEARING","TOTAL","TOTAL",7596,"5.7"
"33","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)",5508,"7.0"
"34","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",1884,"5.7"
"35","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA GROWN","AREA GROWN","(100 OR MORE ACRES)",161,"25.4"
"36","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",147,"18.3"
"37","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",131,"11.9"
"38","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",514,"7.3"
"39","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)",146,"44.0"
"40","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA GROWN","TOTAL","TOTAL",8491,"5.8"
