"","Program","Year","Period","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Data Item","Domain","Domain Category","Value","CV (%)"
"1","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - ACRES BEARING","AREA GROWN","AREA GROWN: (0.1 TO 0.9 ACRES)","963","5.6"
"2","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - ACRES BEARING","AREA GROWN","AREA GROWN: (1.0 TO 4.9 ACRES)","3,195","5.9"
"3","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - ACRES BEARING","AREA GROWN","AREA GROWN: (100 OR MORE ACRES)","46,265","25.3"
"4","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - ACRES BEARING","AREA GROWN","AREA GROWN: (15.0 TO 24.9 ACRES)","2,514","20.0"
"5","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - ACRES BEARING","AREA GROWN","AREA GROWN: (25.0 TO 49.9 ACRES)","4,231","13.0"
"6","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - ACRES BEARING","AREA GROWN","AREA GROWN: (5.0 TO 14.9 ACRES)","3,396","8.6"
"7","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - ACRES BEARING","AREA GROWN","AREA GROWN: (50.0 TO 99.9 ACRES)","10,146","50.5"
"8","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","70,709","15.4"
"9","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - ACRES GROWN","AREA GROWN","AREA GROWN: (0.1 TO 0.9 ACRES)","1,199","6.2"
"10","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - ACRES GROWN","AREA GROWN","AREA GROWN: (1.0 TO 4.9 ACRES)","3,729","5.3"
"11","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - ACRES GROWN","AREA GROWN","AREA GROWN: (100 OR MORE ACRES)","46,931","25.0"
"12","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - ACRES GROWN","AREA GROWN","AREA GROWN: (15.0 TO 24.9 ACRES)","2,758","19.1"
"13","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - ACRES GROWN","AREA GROWN","AREA GROWN: (25.0 TO 49.9 ACRES)","4,441","12.7"
"14","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - ACRES GROWN","AREA GROWN","AREA GROWN: (5.0 TO 14.9 ACRES)","3,942","7.9"
"15","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - ACRES GROWN","AREA GROWN","AREA GROWN: (50.0 TO 99.9 ACRES)","10,461","47.6"
"16","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED","73,462","15.3"
"17","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - ACRES NON-BEARING","AREA GROWN","AREA GROWN: (0.1 TO 0.9 ACRES)","236","13.2"
"18","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - ACRES NON-BEARING","AREA GROWN","AREA GROWN: (1.0 TO 4.9 ACRES)","535","5.1"
"19","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - ACRES NON-BEARING","AREA GROWN","AREA GROWN: (100 OR MORE ACRES)","666","4.2"
"20","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - ACRES NON-BEARING","AREA GROWN","AREA GROWN: (15.0 TO 24.9 ACRES)","244","34.1"
"21","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - ACRES NON-BEARING","AREA GROWN","AREA GROWN: (25.0 TO 49.9 ACRES)","210","37.3"
"22","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - ACRES NON-BEARING","AREA GROWN","AREA GROWN: (5.0 TO 14.9 ACRES)","547","9.9"
"23","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - ACRES NON-BEARING","AREA GROWN","AREA GROWN: (50.0 TO 99.9 ACRES)","315","(H)"
"24","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - ACRES NON-BEARING","TOTAL","NOT SPECIFIED","2,753","15.5"
"25","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN: (0.1 TO 0.9 ACRES)","4,690","6.4"
"26","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN: (1.0 TO 4.9 ACRES)","1,812","6.1"
"27","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN: (100 OR MORE ACRES)","161","25.4"
"28","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN: (15.0 TO 24.9 ACRES)","146","17.2"
"29","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN: (25.0 TO 49.9 ACRES)","131","11.9"
"30","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN: (5.0 TO 14.9 ACRES)","510","7.3"
"31","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN: (50.0 TO 99.9 ACRES)","146","44.0"
"32","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","7,596","5.7"
"33","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - OPERATIONS WITH AREA GROWN","AREA GROWN","AREA GROWN: (0.1 TO 0.9 ACRES)","5,508","7.0"
"34","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - OPERATIONS WITH AREA GROWN","AREA GROWN","AREA GROWN: (1.0 TO 4.9 ACRES)","1,884","5.7"
