"","Program","Year","Period","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Measure","Applications","Bearing Type","Metric","Domain","Chemical Name","Code","Use","Value","CV (%)"
"1","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"APPLICATIONS",NA,NA,NA,"CHEMICAL","OXATHIAPIPROLIN","128111","FUNGICIDE","(D)",NA
"2","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"APPLICATIONS",NA,NA,NA,"CHEMICAL","CYCLANILIPROLE","26202","INSECTICIDE","(D)",NA
"3","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"APPLICATIONS",NA,NA,NA,"CHEMICAL","PERMETHRIN","109701","INSECTICIDE","(D)",NA
"4","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"APPLICATIONS",NA,NA,NA,"CHEMICAL","ISARIA FUMOSOROSEA STRAIN FE 9901","115003","OTHER","(NA)",NA
"5","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"APPLICATIONS-AVG",NA,NA,"MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","OXATHIAPIPROLIN","128111","FUNGICIDE","(D)",NA
"6","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"APPLICATIONS-AVG",NA,NA,"MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","CYCLANILIPROLE","26202","INSECTICIDE","(D)",NA
"7","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"APPLICATIONS-AVG",NA,NA,"MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","PERMETHRIN","109701","INSECTICIDE","(D)",NA
"8","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"APPLICATIONS-AVG",NA,NA,"MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","ISARIA FUMOSOROSEA STRAIN FE 9901","115003","OTHER","(NA)",NA
"9","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"APPLICATIONS-AVG",NA,NA,"MEASURED IN LB / ACRE / YEAR","CHEMICAL","OXATHIAPIPROLIN","128111","FUNGICIDE","(D)",NA
"10","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"APPLICATIONS-AVG",NA,NA,"MEASURED IN LB / ACRE / YEAR","CHEMICAL","CYCLANILIPROLE","26202","INSECTICIDE","(D)",NA
"11","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"APPLICATIONS-AVG",NA,NA,"MEASURED IN LB / ACRE / YEAR","CHEMICAL","PERMETHRIN","109701","INSECTICIDE","(D)",NA
"12","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"APPLICATIONS-AVG",NA,NA,"MEASURED IN LB / ACRE / YEAR","CHEMICAL","ISARIA FUMOSOROSEA STRAIN FE 9901","115003","OTHER","(NA)",NA
"13","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"APPLICATIONS-AVG",NA,NA,"MEASURED IN NUMBER","CHEMICAL","OXATHIAPIPROLIN","128111","FUNGICIDE","(D)",NA
"14","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"APPLICATIONS-AVG",NA,NA,"MEASURED IN NUMBER","CHEMICAL","CYCLANILIPROLE","26202","INSECTICIDE","(D)",NA
"15","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"APPLICATIONS-AVG",NA,NA,"MEASURED IN NUMBER","CHEMICAL","PERMETHRIN","109701","INSECTICIDE","(D)",NA
"16","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"APPLICATIONS-AVG",NA,NA,"MEASURED IN NUMBER","CHEMICAL","ISARIA FUMOSOROSEA STRAIN FE 9901","115003","OTHER","(D)",NA
"17","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"TREATED-AVG",NA,NA,"MEASURED IN PCT OF AREA BEARING","CHEMICAL","OXATHIAPIPROLIN","128111","FUNGICIDE","(D)",NA
"18","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"TREATED-AVG",NA,NA,"MEASURED IN PCT OF AREA BEARING","CHEMICAL","CYCLANILIPROLE","26202","INSECTICIDE","(D)",NA
"19","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"TREATED-AVG",NA,NA,"MEASURED IN PCT OF AREA BEARING","CHEMICAL","PERMETHRIN","109701","INSECTICIDE","(D)",NA
"20","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"TREATED-AVG",NA,NA,"MEASURED IN PCT OF AREA BEARING","CHEMICAL","ISARIA FUMOSOROSEA STRAIN FE 9901","115003","OTHER","(D)",NA
"21","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","AZOXYSTROBIN","128810","FUNGICIDE","3,300",NA
"22","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","BACILLUS AMYLOLIQUEFACIENS STRAIN D747","16482","FUNGICIDE","(NA)",NA
"23","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","BACILLUS SUBTILIS","6479","FUNGICIDE","(NA)",NA
"24","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","BLAD","30006","FUNGICIDE","(D)",NA
"25","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","BORAX DECAHYDRATE","11102","FUNGICIDE","2,800",NA
"26","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","BOSCALID","128008","FUNGICIDE","6,600",NA
