"","Year","Period","Geo Level","State","State ANSI","Category","Measure","Metric","Chemical","Type","Domain Category","Value"
"1",2024,"YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET - PRICE RECEIVED","ADJUSTED BASE","MEASURED IN $ / CWT","TOTAL",NA,"NOT SPECIFIED","10.9"
"2",2024,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING - PRICE RECEIVED","ADJUSTED BASE","MEASURED IN $ / TON","TOTAL",NA,"NOT SPECIFIED","4.04"
"3",2023,"MARKETING YEAR","NATIONAL","US TOTAL",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,"TOTAL",NA,"NOT SPECIFIED","123"
"4",2023,"MARKETING YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET - PRICE RECEIVED","MEASURED IN $ / CWT",NA,"TOTAL",NA,"NOT SPECIFIED","142"
"5",2023,"MARKETING YEAR","NATIONAL","US TOTAL",NA,"PROCESSING - PRICE RECEIVED","MEASURED IN $ / CWT",NA,"TOTAL",NA,"NOT SPECIFIED","43.8"
"6",2023,"MARKETING YEAR","STATE","CALIFORNIA","06","PRICE RECEIVED","MEASURED IN $ / CWT",NA,"TOTAL",NA,"NOT SPECIFIED","121"
"7",2023,"MARKETING YEAR","STATE","CALIFORNIA","06","FRESH MARKET - PRICE RECEIVED","MEASURED IN $ / CWT",NA,"TOTAL",NA,"NOT SPECIFIED","(D)"
"8",2023,"MARKETING YEAR","STATE","CALIFORNIA","06","PROCESSING - PRICE RECEIVED","MEASURED IN $ / CWT",NA,"TOTAL",NA,"NOT SPECIFIED","(D)"
"9",2023,"MARKETING YEAR","STATE","FLORIDA","12","PRICE RECEIVED","MEASURED IN $ / CWT",NA,"TOTAL",NA,"NOT SPECIFIED","147"
"10",2023,"MARKETING YEAR","STATE","FLORIDA","12","FRESH MARKET - PRICE RECEIVED","MEASURED IN $ / CWT",NA,"TOTAL",NA,"NOT SPECIFIED","(D)"
"11",2023,"MARKETING YEAR","STATE","FLORIDA","12","PROCESSING - PRICE RECEIVED","MEASURED IN $ / CWT",NA,"TOTAL",NA,"NOT SPECIFIED","(D)"
"12",2023,"MARKETING YEAR","STATE","OTHER STATES",NA,"FRESH MARKET - PRICE RECEIVED","MEASURED IN $ / CWT",NA,"TOTAL",NA,"NOT SPECIFIED","142"
