"","Year","Period","Geo Level","State","Market","Action","Measure","Metric","Value"
"1",2024,"YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRICE RECEIVED","ADJUSTED BASE","MEASURED IN $ / CWT","10.9"
"2",2024,"YEAR","NATIONAL","US TOTAL","PROCESSING","PRICE RECEIVED","ADJUSTED BASE","MEASURED IN $ / TON","4.04"
"3",2023,"MARKETING YEAR","NATIONAL","US TOTAL",NA,"PRICE RECEIVED",NA,"MEASURED IN $ / CWT","123"
"4",2023,"MARKETING YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","142"
"5",2023,"MARKETING YEAR","NATIONAL","US TOTAL","PROCESSING","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","43.8"
"6",2023,"MARKETING YEAR","STATE","CALIFORNIA",NA,"PRICE RECEIVED",NA,"MEASURED IN $ / CWT","121"
"7",2023,"MARKETING YEAR","STATE","CALIFORNIA","FRESH MARKET","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","(D)"
"8",2023,"MARKETING YEAR","STATE","CALIFORNIA","PROCESSING","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","(D)"
"9",2023,"MARKETING YEAR","STATE","FLORIDA",NA,"PRICE RECEIVED",NA,"MEASURED IN $ / CWT","147"
"10",2023,"MARKETING YEAR","STATE","FLORIDA","FRESH MARKET","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","(D)"
"11",2023,"MARKETING YEAR","STATE","FLORIDA","PROCESSING","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","(D)"
"12",2023,"MARKETING YEAR","STATE","OTHER STATES","FRESH MARKET","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","142"
"13",2023,"MARKETING YEAR","STATE","OTHER STATES","PROCESSING","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","43.8"
"14",2023,"YEAR","NATIONAL","US TOTAL","ACRES HARVESTED",NA,NA,NA,"56,800"
"15",2023,"YEAR","NATIONAL","US TOTAL","ACRES PLANTED",NA,NA,NA,"57,300"
"16",2023,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"MEASURED IN $","3,398,943,000"
"17",2023,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"MEASURED IN CWT","27,560,000"
